11900102 1545 N16E04 B            5862 EHI 34 12 570 9001 2.9 9001 2.9 646 3HOLL
11900102 1630 N16E03 B            5862 EKI 22 11 440 9001 2.9 9001 2.9 451 2BOUL
11900102 2235 N15E00 B            5862 EHI 39 12 510 9001 2.9 9001 2.9 616 2PALE
11900103 0015 N16W02 B            5862 EKO 23 11 460 9001 2.8 9001 2.9 579 2LEAR
11900103 1329 N17W08 B            5862 EKO 27 13 150 9001 2.9 9001 2.9 652 3RAMY
11900103 1515 N15W09 B            5862 EKI 20 12 400 9001 2.9 9001 2.9 646 3HOLL
11900103 1720 N16W11 B            5862 EKO 22 11 330 9001 2.9 9001 2.9 451 3BOUL
11900103 1805 N16W10 B            5862 EKO 17 11 450 9001 3.0 9001 2.9 616 3PALE
11900104 0035 N14W16 B            5862 EKO 17 11 390 9001 2.8 9001 2.9 579 2LEAR
11900104 0908 N14W20 B            5862 ESO 18 13 390 9001 2.9 9001 2.9 596 3SVTO
11900104 1415 N18W25 B            5862 EKO 21 11 480 9001 2.7 9001 2.9 652 3RAMY
11900104 1545 N15W23 B            5862 DKO  5 10 350 9001 2.9 9001 2.9 451 2BOUL
11900104 1655 N17W24 B            5862 EHO 24 14 440 9001 2.9 9001 2.9 646 4HOLL
11900104 1911 N16W26 B            5862 EKI 22 11 390 9001 2.8 9001 2.9 616 3PALE
11900105 1005 N16W34 B            5862 DHO 11  9 470 9001 2.8 9001 2.9 596 3SVTO
11900105 1530 N18W38 B            5862 DKO  5  8 370 9001 2.7 9001 2.9 652 3RAMY
11900105 1550 N13W40 B            5862 DHO  3  8 360 9001 2.6 9001 2.9 451 3BOUL
11900105 1752 N15W39 B            5862 EHO  8 12 450 9001 2.8 9001 2.9 646 3HOLL
11900105 1906 N15W40 B            5862 DKO 13  8 380 9001 2.8 9001 2.9 616 3PALE
11900106 0037 N14W43 B            5862 EHO  4 14 340 9001 2.8 9001 2.9 579 3LEAR
11900106 0745 N16W46 B            5862 DHO  2  8 420 9001 2.8 9001 2.9 596 4SVTO
11900106 1245 N17W49 B            5862 DKO  4  8 400 9001 2.8 9001 2.9 652 3RAMY
11900106 1655 N15W53 B            5862 DHO  2  9 290 9001 2.7 9001 2.9 451 2BOUL
11900106 1930 N15W52 B            5862 EHO  4 11 340 9001 2.9 9001 2.9 616 3PALE
11900107 0030 N15W56 B            5862 DHO  3  9 280 9001 2.8 9001 2.9 579 3LEAR
11900107 0255 N14W58 B            5862 DHO  2  8 260 9001 2.7 9001 2.9 873 1CULG
11900107 0925 N15W62 B            5862 DHO  2 10 340 9001 2.7 9001 2.9 596 2SVTO
11900107 1435 N17W65 B            5862 DKO  3  9 560 9001 2.7 9001 2.9 652 3RAMY
11900107 1600 N16W65 B            5862 DHO  2  8 420 9001 2.7 9001 2.9 646 3HOLL
11900107 1706 N16W65 B            5862 DSO  2 10 190 9001 2.8 9001 2.9 451 2BOUL
11900103 1329 S26W08 B            5872 BXO  4  3  10 9001 2.9 9001 2.9 006 3RAMY
11900103 1515 S25W10 A            5872 AX   2  2     9001 2.9 9001 2.9 004 3HOLL
11900103 1720 S25W10 B            5872 BXO  4  2     9001 2.9 9001 2.9 459 3BOUL
11900103 1805 S24W12 B            5872 CSO  2  3  10 9001 2.8 9001 2.9 005 3PALE
11900104 0035 S26W13 B            5872 DAO  2  3  20 9001 3.0 9001 2.9 006 2LEAR
11900104 0908 S25W19 B            5872 DAO 10  4  30 9001 2.9 9001 2.9 004 3SVTO
11900104 1415 S25W23 B            5872 DAO  9  5  80 9001 2.8 9001 2.9 006 3RAMY
11900104 1545 S25W23 B            5872 DAO  4  5  80 9001 2.9 9001 2.9 459 2BOUL
11900104 1655 S25W23 B            5872 CRO  7  5  40 9001 2.9 9001 2.9 004 4HOLL
11900104 1911 S26W24 B            5872 BXO  4  5  30 9001 2.9 9001 2.9 005 3PALE
11900105 1005 S25W33 B            5872 CRO 10  7  40 9001 2.9 9001 2.9 004 3SVTO
11900105 1530 S25W36 B            5872 DAO  6  7  30 9001 2.8 9001 2.9 006 3RAMY
11900105 1550 S28W36 B            5872 CAO  6  8  80 9001 2.8 9001 2.9 459 3BOUL
11900105 1752 S25W38 B            5872 CRO 11  6  30 9001 2.8 9001 2.9 004 3HOLL
11900105 1906 S26W39 B            5872 BXO  9  6  30 9001 2.8 9001 2.9 005 3PALE
11900106 0037 S26W41 B            5872 CAO  7  7  30 9001 2.8 9001 2.9 006 3LEAR
11900106 0745 S25W45 B            5872 BXO  2  6  20 9001 2.8 9001 2.9 004 4SVTO
11900106 1245 S25W45 A            5872 AX   1  1  10 9001 3.0 9001 2.9 006 3RAMY
11900106 1930 S23W49 A            5872 AX   2  1     9001 3.0 9001 2.9 005 3PALE
11900107 1435 S24W60 A            5872 AX   1  1  10 9001 3.0 9001 2.9 006 3RAMY
11891229 1319 N13E76 A            5864 AX   1  1  10 9001 4.3 9001 4.3 656 3RAMY
11891229 1955 N12E71 B            5864 BXO  3  4  20 9001 4.2 9001 4.3 620 4PALE
11891230 0025 N15E70 B            5864 BXO  3  4  10 9001 4.3 9001 4.3 874 3CULG
